Rank,Company,Sector,Women on Boards,Board Size,Total women on boards,Executive women on boards,Combined Exec. Comm & DRs
62,International Consolidated Airlines Group S.A.,Travel & Leisure,41.70%,12,5,0,27.10%
72,Intertek Group Plc,Industrial Goods & Services,33.30%,9,3,0,23.00%
5,ITV Plc,Media,45.50%,11,5,1,47.50%
4,J Sainsbury Plc,"Personal Care, Drug & Grocery Stores",33.30%,9,3,0,47.80%
20,JD Sports Fashion Plc,Retail,42.90%,7,3,0,37.30%
54,Kingfisher Plc,Retail,50.00%,8,4,0,28.70%
48,Land Securities Group Plc,Real Estate,55.60%,9,5,2,30.90%
25,Legal & General Group Plc,Insurance,36.40%,11,4,0,36.10%
34,Lloyds Banking Group Plc,Banks,40.00%,10,4,0,34.10%
6,London Stock Exchange Group Plc,Financial Services,46.20%,13,6,1,44.50%
31,M&G Plc,Financial Services,50.00%,6,3,0,34.60%
78,Meggitt Plc,Industrial Goods & Services,36.40%,9,4,1,18.20%
21,Melrose Industries Plc,Industrial Goods & Services,45.50%,11,5,0,36.70%
50,Mondi Plc,"Industrial Goods &Services",44.40%,9,4,0,30.00%
28,National Grid Plc,Utilities,41.70%,12,5,0,35.00%
26,NatWest Group Plc,Banks,36.40%,11,4,2,35.90%
1,Next Plc,Retail,40.00%,10,4,2,55.00%
95,Ocado Group Plc,"Personal Care, Drug & Grocery Stores",25.00%,12,3,0,26.60%
3,Pearson Plc,Media,44.40%,9,4,1,49.50%
59,Persimmon Plc,Consumer Products & Services,33.30%,9,3,0,28.20%
13,Phoenix Group Holdings,Insurance,33.30%,12,4,0,41.00%
69,Polymetal International Plc,Basic Resources,33.30%,9,3,0,23.20%
57,Prudential Plc,Insurance,35.70%,14,5,0,28.30%
63,Reckitt Benckiser Group Plc,"Personal Care, Drug & Grocery Stores",41.70%,12,5,0,26.40%
40,RELX Plc,Media,45.50%,11,5,0,32.90%
44,Rentokil Initial Plc,"Industrial Goods &Services",37.50%,8,3,0,31.80%
11,Rightmove Plc,Real Estate,50.00%,8,4,1,41.30%
22,Rio Tinto Plc,Basic Resources,36.40%,11,4,0,36.70%
58,Rolls-Royce Holdings Plc,Industrial Goods & Services,38.50%,13,5,0,28.20%
53,Royal Dutch Shell Plc,Energy,50.00%,12,6,1,28.90%
51,Royal Mail Plc,"Industrial Goods &Services",40.00%,10,4,0,29.90%
86,Sage Group Plc,Technology,30.00%,10,3,0,38.60%
46,Schroders Plc,Financial Services,50.00%,12,6,0,31.00%
37,SEGRO Plc,Real Estate,40.00%,10,4,0,33.30%
18,Severn Trent Plc,Utilities,50.00%,10,5,1,38.00%
89,Smith & Nephew Plc,Health Care,27.30%,11,3,0,32.50%
75,Smiths Group Plc,Industrial Goods & Services,33.30%,10,4,0,20.70%
45,Smurfit Kappa Group Plc,"Industrial Goods &Services",33.30%,12,4,0,31.60%
38,Spirax-Sarco Engineering Plc,"Industrial Goods &Services",40.00%,10,4,0,33.30%
68,SSE Plc,Utilities,50.00%,12,6,0,24.60%
96,St. James's Place Plc,Financial Services,30.00%,10,3,0,23.60%
94,Standard Chartered Plc,Banks,30.80%,13,4,0,29.10%
66,Taylor Wimpey Plc,Consumer Products & Services,50.00%,10,5,1,26.00%
93,Tesco Plc,"Personal Care, Drug & Grocery Stores",30.80%,13,4,0,29.40%
15,The British Land Company Plc,Real Estate,36.40%,11,4,0,38.80%
43,Unilever Plc,"Personal Care, Drug& Grocery Stores",46.20%,13,6,0,32.00%
88,United Utilities Group Plc,Utilities,30.00%,10,3,1,34.70%
49,Vodafone Group Plc,Telecommunications,44.40%,9,4,1,30.40%
84,Whitbread Plc,Travel & Leisure,30.00%,10,3,1,45.50%
8,WPP Plc,Media,42.90%,14,6,0,42.90%
