,Rank,Company,Sector,Women on Boards,Board Size,Total women on boards,Executive women on boards,Combined Exec. Comm & DRs,Component 1,Component 2
61,50,Mondi Plc,Industrial Goods,0.444,9,4,0,0.3,-0.091992907,-0.513393795
62,28,National Grid Plc,Utilities,0.417,12,5,0,0.35,0.486203762,-0.362646869
63,26,NatWest Group Plc,Financial Services,0.364,11,4,2,0.359,1.481890898,1.670784173
64,1,Next Plc,Consumer Goods & Services,0.4,10,4,2,0.55,2.580581961,3.279605797
65,95,Ocado Group Plc,Consumer Goods & Services,0.25,12,3,0,0.266,-2.226711364,0.493049909
66,3,Pearson Plc,Technology,0.444,9,4,1,0.495,1.711762675,1.932534124
67,59,Persimmon Plc,Consumer Goods & Services,0.333,9,3,0,0.282,-1.546060309,0.262767513
68,13,Phoenix Group Holdings,Financial Services,0.333,12,4,0,0.41,-0.428677888,1.014389408
69,69,Polymetal International Plc,Industrial Goods,0.333,9,3,0,0.232,-1.764322796,-0.201402027
70,57,Prudential Plc,Financial Services,0.357,14,5,0,0.283,-0.247815242,-0.710790691
71,63,Reckitt Benckiser Group Plc,Consumer Goods & Services,0.417,12,5,0,0.264,0.110792284,-1.161018476
72,40,RELX Plc,Technology,0.455,11,5,0,0.329,0.674180123,-0.731032203
73,44,Rentokil Initial Plc,Industrial Goods,0.375,8,3,0,0.318,-1.079828228,0.405279229
74,11,Rightmove Plc,Real Estate,0.5,8,4,1,0.413,1.765922983,0.915708943
75,22,Rio Tinto Plc,Industrial Goods,0.364,11,4,0,0.367,-0.38825087,0.473717868
76,58,Rolls-Royce Holdings Plc,Industrial Goods,0.385,13,5,0,0.282,-0.046125099,-0.84786765
77,53,Royal Dutch Shell Plc,Utilities,0.5,12,6,1,0.289,2.341892924,-1.108735764
78,51,Royal Mail Plc,Industrial Goods,0.4,10,4,0,0.299,-0.420159489,-0.321858721
79,86,Sage Group Plc,Technology,0.3,10,3,0,0.386,-1.334925336,1.378854002
80,46,Schroders Plc,Financial Services,0.5,12,6,0,0.31,1.481031286,-1.549451273
81,37,SEGRO Plc,Real Estate,0.4,10,4,0,0.333,-0.271740998,-0.006223435
82,18,Severn Trent Plc,Utilities,0.5,10,5,1,0.38,2.180500196,0.172704922
83,89,Smith & Nephew Plc,Consumer Goods & Services,0.273,11,3,0,0.325,-1.799901842,0.935796677
84,75,Smiths Group Plc,Industrial Goods,0.333,10,4,0,0.207,-1.314823585,-0.870138921
85,45,Smurfit Kappa Group Plc,Industrial Goods,0.333,12,4,0,0.316,-0.839011364,0.141750674
86,38,Spirax-Sarco Engineering Plc,Industrial Goods,0.4,10,4,0,0.333,-0.271740998,-0.006223435
87,68,SSE Plc,Utilities,0.5,12,6,0,0.246,1.201655303,-2.143588284
88,96,St. James's Place Plc,Financial Services,0.3,10,3,0,0.236,-1.989712796,-0.013654615
89,94,Standard Chartered Plc,Financial Services,0.308,13,4,0,0.291,-1.132120637,0.023767305
90,66,Taylor Wimpey Plc,Consumer Goods & Services,0.5,10,5,1,0.26,1.656670228,-0.941301972
91,93,Tesco Plc,Consumer Goods & Services,0.308,13,4,0,0.294,-1.119024888,0.051617477
92,15,The British Land Company Plc,Real Estate,0.364,11,4,0,0.388,-0.296580625,0.668669074
93,43,Unilever Plc,Consumer Goods & Services,0.462,13,6,0,0.32,1.245037178,-1.283183237
94,88,United Utilities Group Plc,Utilities,0.3,10,3,1,0.347,-0.552638193,1.652468477
95,49,Vodafone Group Plc,Utilities,0.444,9,4,1,0.304,0.877999975,0.159406484
96,84,Whitbread Plc,Travel,0.3,10,3,1,0.455,-0.081191221,2.655074682
97,8,WPP Plc,Technology,0.429,14,6,0,0.429,1.4779984,-0.120679794
